ab,770343567.0,355547373.0,157367698.0
ag,1287392632.0,670931807.0,317225346.0
ar,1069378402.0,566300385.0,229282085.0
b,3720000000.0,3570000000.0,3210000000.0
bc,1167020118.0,464299518.0,182058419.0
bh,1355067848.0,607697741.0,250713045.0
bn,714229311.0,269062782.0,99603060.0
br,721705472.0,279253616.0,104673273.0
bt,741824878.0,223939798.0,85304417.0
bv,1346120353.0,840306008.0,351844646.0
bz,840877246.0,323248372.0,135949965.0
cj,1772779078.0,1064794094.0,509782787.0
cl,656580212.0,213273608.0,81519475.0
cs,590747826.0,208500453.0,81793408.0
ct,1773218285.0,1052837022.0,389272039.0
cv,456525648.0,186739459.0,73962898.0
db,854559735.0,343442598.0,136506483.0
dj,1200153908.0,563327139.0,244167500.0
gj,757669794.0,289662245.0,122353343.0
gl,1064275938.0,477979953.0,188119895.0
gr,591126258.0,176396354.0,68895082.0
hd,927190845.0,381916885.0,163664562.0
hr,670314664.0,255388358.0,103045360.0
if,1252655547.0,883377950.9,406002047.1
il,474415050.0,195958007.0,71559920.0
is,1530283685.0,620064923.0,286538261.0
mh,627926794.0,193646767.0,66920363.0
mm,960136901.0,379956185.0,154831396.0
ms,1148071818.0,575140410.0,239554742.0
nt,970296425.0,315700112.0,122732636.0
ot,865259115.0,291639910.0,118259124.0
ph,1566484428.0,853429544.0,355850449.0
sb,1010011075.0,616897666.0,266617965.0
sj,501325116.0,186318490.0,72466270.0
sm,777443894.0,321669669.0,140109968.0
sv,1230543201.0,463082933.0,157748310.0
tl,479225199.0,225046781.0,79366019.0
tm,1904782530.0,1044705625.0,489564746.0
tr,596473488.0,207218432.0,84372272.0
vl,936346353.0,295683773.0,120455301.0
vn,677530623.0,241258572.0,86936880.0
vs,744850821.0,213343372.0,85250272.0
