Variabile,Code,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,1.0,-0.4312515694611473,0.4885715463984436,-0.04189041471859346,0.13793699777293622,-0.33064972947620663,-0.48936837696707153,-0.48953800679991366,-0.5287461173709957,-0.453696958210902,0.30724491406436005,0.18733434223656642
I2a,-0.43125156946114734,1.0,-0.4800123318341131,0.14019871950574028,-0.5326395426472208,-0.08559027233749526,0.1296097059726546,0.09367056051384054,0.49619089474216554,-0.06539531079632925,0.3001057553551461,-0.22140706107460645
I2b,0.48857154639844363,-0.4800123318341132,1.0,-0.3463550445066668,0.6832788935061972,0.19513782478343564,-0.29919569664318346,-0.251815656548048,-0.2815642015149656,-0.34379616904664545,0.05202086516097525,-0.36654967892025514
R1a,-0.04189041471859346,0.14019871950574028,-0.3463550445066668,1.0,-0.5741328224998308,-0.4595831800410388,-0.39910967344961723,-0.31922595688903166,-0.34676825636491376,-0.2833054431088504,0.05074768977416871,0.277087200516766
R1b,0.13793699777293622,-0.5326395426472208,0.6832788935061972,-0.5741328224998307,1.0,0.2412578134234813,-0.12973894479203732,-0.03998521786250091,-0.2678029132279638,-0.0216372679971977,-0.19062226511454677,-0.3930673778043512
G,-0.33064972947620663,-0.08559027233749526,0.19513782478343564,-0.4595831800410388,0.24125781342348132,0.9999999999999998,0.6642804000324013,0.5797173868057574,0.41998579321874047,0.5401359063526594,-0.1489914578442836,-0.49374165513099216
J2,-0.48936837696707153,0.1296097059726546,-0.29919569664318346,-0.3991096734496172,-0.12973894479203732,0.6642804000324014,1.0,0.7779536633622637,0.7160331563073667,0.7450504046662225,-0.21620878012154482,-0.3542294112623913
J1,-0.48953800679991366,0.09367056051384054,-0.251815656548048,-0.31922595688903166,-0.03998521786250091,0.5797173868057574,0.7779536633622637,1.0,0.4948986257161312,0.7031455908459656,-0.27886769237233505,-0.30044954958994635
E1b1b,-0.5287461173709957,0.4961908947421655,-0.2815642015149656,-0.34676825636491376,-0.2678029132279638,0.41998579321874047,0.7160331563073669,0.4948986257161312,1.0,0.3624743437971352,-0.016116919770508137,-0.3991303955131724
T,-0.45369695821090206,-0.06539531079632924,-0.34379616904664545,-0.2833054431088504,-0.021637267997197698,0.5401359063526594,0.7450504046662224,0.7031455908459656,0.36247434379713517,0.9999999999999998,-0.24129342947475096,-0.10715445923366786
Q,0.30724491406436005,0.3001057553551461,0.05202086516097526,0.0507476897741687,-0.19062226511454675,-0.1489914578442836,-0.21620878012154482,-0.27886769237233505,-0.016116919770508137,-0.24129342947475096,1.0,-0.06611102697879613
N,0.18733434223656645,-0.22140706107460642,-0.3665496789202552,0.27708720051676605,-0.3930673778043512,-0.4937416551309921,-0.35422941126239127,-0.30044954958994635,-0.3991303955131724,-0.10715445923366786,-0.06611102697879613,1.0
